Theme,Constituents,Theme Cap ($M),CapWtd 1W %,EqWtd 1W %,CapWtd 1M %,EqWtd 1M %,CapWtd 3M %,EqWtd 3M %,Breadth 1W %,Coverage %,Top3 Weight %,Effective N,Top Name,Distortion pp,Mega Cap Distorted,Down Day Capture,Vol Ratio 20/60,Pct Above 30W EMA,Acceleration pp,Signal
Healthcare & Biotech,149,7019416.6,0.34,-0.02,6.56,3.73,18.13,20.61,52.0,99.3,30.7,20.1,LLY,0.36,False,0.35,0.88,72.3,-1.19,MATURE LEADERSHIP
Conglomerates & Diversified Holdings,2,1100941.7,0.19,-0.09,-2.2,-3.93,6.43,5.57,50.0,100.0,100.0,1.0,BRK-B,0.28,False,-0.07,0.95,50.0,0.7,MIXED / CONSOLIDATING
Space Tech,14,54456.6,0.09,-1.67,-8.84,-8.39,-30.09,-32.45,46.2,92.9,59.6,6.3,RKLB,1.76,True,4.21,0.69,23.1,2.15,MIXED / CONSOLIDATING
Telecommunications,31,1034284.0,0.02,0.72,3.06,-2.88,-0.45,-4.2,54.8,100.0,49.4,9.0,VZ,-0.7,False,0.62,0.7,61.3,-0.69,MIXED / CONSOLIDATING
FinTech & Digital Finance,53,2665762.0,-0.31,0.65,2.64,1.09,18.35,15.65,52.8,100.0,41.9,12.2,V,-0.96,False,0.9,0.85,69.8,-0.92,MIXED / CONSOLIDATING
Commodities - Metals,50,1252029.5,-0.45,-0.06,18.19,13.88,8.64,-1.75,48.0,100.0,26.9,19.0,NEM,-0.39,False,1.38,1.1,68.0,-4.68,MATURE LEADERSHIP
Environmental Sustainability,37,611429.9,-0.52,-0.28,-0.84,-1.24,4.52,5.49,35.1,100.0,40.3,13.3,LIN,-0.24,False,0.47,0.87,54.1,-0.32,FAILED ROTATION
E-commerce,65,3880438.0,-0.68,-0.49,-4.07,-4.31,2.58,5.95,53.1,98.5,59.2,6.8,AMZN,-0.19,False,0.8,0.91,46.9,0.27,MIXED / CONSOLIDATING
Nanotechnology,38,675523.6,-0.72,-0.6,5.22,6.29,15.98,10.19,44.7,100.0,41.7,11.6,PG,-0.12,False,1.32,0.95,65.8,-1.93,MIXED / CONSOLIDATING
Education Technology,18,56442.3,-0.8,-0.7,0.37,-4.79,11.26,2.74,47.1,94.4,41.9,10.4,PSO,-0.1,False,-0.25,0.97,52.9,-0.89,MIXED / CONSOLIDATING
Transportation & Logistics,61,1573285.9,-0.95,0.29,-3.43,-3.55,1.1,0.8,53.3,98.4,30.9,17.7,CAT,-1.24,False,1.25,0.82,61.0,-0.15,MIXED / CONSOLIDATING
Industrials & Construction,95,1552091.8,-1.19,-0.9,-5.64,-5.87,1.44,0.66,29.0,97.9,14.8,43.9,SHW,-0.29,False,1.82,0.84,50.5,0.12,FAILED ROTATION
Consumer Goods & Retail,97,3086892.4,-2.25,-2.15,-0.35,-5.31,7.46,4.36,25.5,96.9,28.6,20.2,KO,-0.1,False,0.47,0.9,39.4,-2.17,FAILED ROTATION
Business Services & Consulting,22,444489.7,-2.27,-2.13,1.99,0.61,8.71,9.29,9.1,100.0,55.8,7.3,ACN,-0.14,False,1.01,0.8,63.6,-2.73,FAILED ROTATION
Cloud Computing,48,7496165.2,-2.34,-1.95,-1.39,2.77,6.44,7.21,31.2,100.0,75.2,5.1,MSFT,-0.39,False,1.16,0.79,75.0,-2.02,FAILED ROTATION
Software,39,2227002.8,-2.45,-4.41,2.17,5.1,12.31,17.87,21.1,97.4,78.4,2.1,MSFT,1.96,True,1.5,0.79,63.2,-2.95,FAILED ROTATION
Real Estate & REITs,93,1547890.0,-2.52,-2.11,-4.62,-4.74,1.7,2.18,13.3,96.8,15.5,40.5,MAR,-0.41,False,1.07,0.81,45.6,-1.45,FAILED ROTATION
Big Data & Analytics,25,911512.4,-2.54,-3.51,4.52,1.69,14.43,9.98,24.0,100.0,51.2,8.1,SAP,0.97,False,0.91,0.89,76.0,-3.59,FAILED ROTATION
Defense & Aerospace,47,1986589.1,-3.47,-2.76,-7.28,-8.37,6.25,-8.19,17.0,100.0,44.3,11.3,GE,-0.71,False,2.39,0.88,30.4,-1.78,FAILED ROTATION
Industrial Automation & Robotics,63,1392887.9,-3.77,-1.32,-3.96,-5.35,2.12,-6.95,41.9,98.4,34.8,16.8,PLTR,-2.45,True,2.5,0.87,51.6,-2.85,FAILED ROTATION
Cybersecurity,27,721338.0,-4.25,-4.65,-1.23,-3.84,9.26,3.31,18.5,100.0,59.0,6.3,CRWD,0.4,False,3.38,0.99,63.0,-3.96,FAILED ROTATION
