Ticker,Company Name,Theme,Sub Theme,Assignment,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Sub Market Cap
ACI,"Albertsons Companies, Inc.",Consumer Goods & Retail,"Consumer - Health, Food & Beverages",Secondary,6119.957,0.0336,0.1432,-0.2104,2447.9828
ACIW,"Aci Worldwide, Inc.",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary,5291.0643,0.0054,-0.0693,0.2268,5291.0643
ACLS,Axcelis Technologies Inc,Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary,3813.5549,-0.1431,-0.0791,-0.2131,3813.5549
ACM,Aecom,Business Services & Consulting,Consulting,Primary,8363.9803,0.0445,-0.0789,-0.0938,8363.9803
ACN,Accenture Plc,Business Services & Consulting,Consulting,Primary,114145.5585,0.0974,0.269,0.0532,114145.5585
ADBE,Adobe Inc.,Cloud Computing,Cloud - Horizontal SaaS & Cloud Applications,Primary,109817.3235,0.0875,0.2273,0.1287,65890.3941
ADBE,Adobe Inc.,E-commerce,E-commerce - Platforms,Secondary,109817.3235,0.0875,0.2273,0.1287,43926.9294
ADC,Agree Realty Corp,Real Estate & REITs,Real Estate - Retail & Consumer Real Estate,Primary,9302.1348,0.0005,-0.0719,-0.0013,9302.1348
ADI,Analog Devices Inc,Semiconductors,"Semis - Analog, Mixed-Signal & Power Management",Primary,179856.1792,-0.049,-0.0019,-0.0627,107913.7075
ADI,Analog Devices Inc,Hardware,Hardware - Industrial & IoT,Secondary,179856.1792,-0.049,-0.0019,-0.0627,71942.4717
ADM,Archer-Daniels-Midland Co,Agriculture & FoodTech,Agriculture - Agri-Food Processing & Distribution,Primary,37669.9617,-0.0324,-0.0845,0.0147,22601.977
ADM,Archer-Daniels-Midland Co,Agriculture & FoodTech,Agriculture - Alternative Proteins,Secondary,37669.9617,-0.0324,-0.0845,0.0147,15067.9847
ADP,"Automatic Data Processing, Inc.",Cloud Computing,Cloud - Horizontal SaaS & Cloud Applications,Primary,112429.3345,0.0637,0.1316,0.2656,67457.6007
ADP,"Automatic Data Processing, Inc.",Business Services & Consulting,"Business Services - Outsourcing, Facilities & Testing",Secondary,112429.3345,0.0637,0.1316,0.2656,44971.7338
ADSK,"Autodesk, Inc.",Industrial Automation & Robotics,Automation - Industrial Software & Digital Twin,Primary,53719.5725,0.0529,0.213,0.0557,32231.7435
ADSK,"Autodesk, Inc.",Software,Software - Vertical SaaS Platforms,Secondary,53719.5725,0.0529,0.213,0.0557,21487.829
ADT,Adt Inc.,Smart Home & IoT,Smart Home - Automation & Control Systems,Primary,5420.7493,0.0334,0.054,0.0734,3252.4496
ADT,Adt Inc.,Smart Home & IoT,Smart Home - Connected Devices & Appliances,Secondary,5420.7493,0.0334,0.054,0.0734,2168.2997
ADTN,"Adtran Holdings, Inc.",Hardware,Hardware - Communications & Telecom,Primary,628.2216,-0.1097,-0.2173,-0.508,628.2216
AEE,Ameren Corp,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary,29666.5252,-0.0211,-0.0582,-0.0303,29666.5252
AEIS,Advanced Energy Industries Inc,Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary,11000.6548,-0.2119,-0.0961,-0.1542,6600.3929
AEIS,Advanced Energy Industries Inc,Hardware,Hardware - Industrial & IoT,Secondary,11000.6548,-0.2119,-0.0961,-0.1542,4400.2619
AEM,Agnico Eagle Mines Ltd,Commodities - Metals,Comm Metals - Gold,Primary,110331.8385,0.1542,0.5013,0.2417,66199.1031
AEM,Agnico Eagle Mines Ltd,Commodities - Metals,Comm Metals - Precious Metals,Secondary,110331.8385,0.1542,0.5013,0.2417,44132.7354
AEP,American Electric Power Co Inc,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary,66405.5931,-0.036,-0.0932,-0.066,39843.3559
AEP,American Electric Power Co Inc,Energy - Traditional,Energy Base - Coal & Thermal Power Generation,Secondary,66405.5931,-0.036,-0.0932,-0.066,26562.2372
AES,Aes Corp,Energy - Renewable,Energy Clean - Wind,Primary,10523.22,-0.0007,0.0059,0.0168,6313.932
AES,Aes Corp,Artificial Intelligence,"AI - Compute, Edge & Acceleration",Secondary,10523.22,-0.0007,0.0059,0.0168,4209.288
AEVA,"Aeva Technologies, Inc.",Industrial Automation & Robotics,"Robotics - Autonomous Vehicles, Service & Mobility",Primary,1147.3568,-0.3069,0.1084,-0.3499,1147.3568
AFG,"American Financial Group, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,11977.1761,-0.0147,0.0047,0.0633,11977.1761
AFL,Aflac Inc,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,59258.7776,-0.0181,-0.0542,0.0079,59258.7776
AFRM,"Affirm Holdings, Inc.",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary,25747.0013,0.0317,0.0947,0.1788,25747.0013
AG,First Majestic Silver Corp,Commodities - Metals,Comm Metals - Precious Metals,Primary,10267.2394,0.0644,0.2782,0.0718,10267.2394
AGCO,Agco Corp /De,Agriculture & FoodTech,Agriculture - Precision Agriculture & Farm Automation,Primary,7712.5939,0.1041,-0.0887,-0.0211,4627.5563
AGCO,Agco Corp /De,Industrial Automation & Robotics,"Robotics - Autonomous Vehicles, Service & Mobility",Secondary,7712.5939,0.1041,-0.0887,-0.0211,3085.0376
AGRO,Adecoagro S.A.,Commodities - Agriculture,"Comm Agri - Grains, Oilseeds & Softs",Primary,1624.9078,0.216,0.0643,-0.121,974.9447
AGRO,Adecoagro S.A.,Commodities - Agriculture,Comm Agri - Softs & Plantation Crops,Secondary,1624.9078,0.216,0.0643,-0.121,649.9631
AHR,"American Healthcare REIT, Inc.",Real Estate & REITs,Real Estate - Healthcare & Senior Living,Primary,12249.3501,0.0276,-0.0218,0.125,12249.3501
AI,"C3.Ai, Inc.",Big Data & Analytics,"Big Data - Analytics, AI Platforms & BI",Primary,1571.5921,0.0423,0.2405,0.0883,942.9553
AI,"C3.Ai, Inc.",Artificial Intelligence,"AI - Apps, Domain-Specific AI",Secondary,1571.5921,0.0423,0.2405,0.0883,628.6368
AIG,"American International Group, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,40461.4717,0.0207,-0.0212,0.011,40461.4717
AIOT,"Powerfleet, Inc.",Electric Vehicles & Mobility,EVs - Autonomous Driving & Fleet,Primary,404.02,0.0451,-0.193,-0.1173,404.02
AIT,"Applied Industrial Technologies, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,Primary,12431.7379,-0.0558,-0.0226,0.1046,12431.7379
AIZ,"Assurant, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,14195.8738,0.0238,0.0393,0.1333,14195.8738
AJG,Arthur J. Gallagher & Co.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,69722.1857,0.0969,0.0978,0.3328,69722.1857
AKAM,Akamai Technologies Inc,Telecommunications,Telecom - Cloud & Edge Connectivity,Primary,15185.0977,-0.1408,-0.0842,-0.2823,9111.0586
AKAM,Akamai Technologies Inc,Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary,15185.0977,-0.1408,-0.0842,-0.2823,6074.0391
ALB,Albemarle Corp,Energy - Renewable,Energy Clean - Materials & Critical Metals,Primary,16698.8943,0.0561,0.2321,-0.1731,10019.3366
ALB,Albemarle Corp,Commodities - Metals,Comm Metals - Battery & Energy Transition Metals,Secondary,16698.8943,0.0561,0.2321,-0.1731,6679.5577
ALGM,"Allegro Microsystems, Inc.",Semiconductors,"Semis - Analog, Mixed-Signal & Power Management",Primary,6641.5053,-0.1948,-0.2259,-0.2246,3984.9032
ALGM,"Allegro Microsystems, Inc.",Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,Secondary,6641.5053,-0.1948,-0.2259,-0.2246,2656.6021
ALGN,"Align Technology, Inc.",Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,Primary,11340.8031,-0.0673,-0.0442,-0.0243,11340.8031
ALGT,Allegiant Travel Co,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary,2231.5809,-0.0317,-0.1677,0.0164,2231.5809
ALK,"Alaska Air Group, Inc.",Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary,4638.2259,-0.0563,-0.0991,0.0053,4638.2259
ALL,Allstate Corp,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,65791.1112,0.0081,0.0008,0.2076,65791.1112
ALLE,Allegion Plc,Smart Home & IoT,Smart Home - Automation & Control Systems,Primary,13829.5327,0.0033,0.0604,0.252,8297.7196
ALLE,Allegion Plc,Smart Home & IoT,"Smart Home - Connectivity, Security & Networking",Secondary,13829.5327,0.0033,0.0604,0.252,5531.8131
ALLY,Ally Financial Inc.,FinTech & Digital Finance,FinTech - Digital Banking & Neobanks,Primary,12913.2769,-0.0266,-0.0041,0.0093,12913.2769
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare & Biotech,Healthcare - Next-Gen Biotech Platforms,Primary,31580.289,0.0508,-0.1316,-0.2066,31580.289
ALRM,"Alarm.Com Holdings, Inc.",Smart Home & IoT,Smart Home - Automation & Control Systems,Primary,2826.6153,0.0469,0.112,0.3146,1695.9692
ALRM,"Alarm.Com Holdings, Inc.",Smart Home & IoT,"Smart Home - Connectivity, Security & Networking",Secondary,2826.6153,0.0469,0.112,0.3146,1130.6461
ALT,"Altimmune, Inc.",Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,Primary,604.95,0.0367,0.1227,0.0724,604.95
ALV,"Autoliv, Inc.",Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,Primary,9021.3601,0.02,0.0484,0.0037,9021.3601
AM,Antero Midstream Corp,Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,Primary,10509.2813,-0.0005,-0.0166,0.0091,6305.5688
AM,Antero Midstream Corp,Commodities - Energy,Comm Energy - Natural Gas & LNG,Secondary,10509.2813,-0.0005,-0.0166,0.0091,4203.7125
AMAT,Applied Materials Inc /De,Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary,384251.9532,-0.0945,-0.0961,0.1216,230551.1719
AMAT,Applied Materials Inc /De,Artificial Intelligence,"AI - Compute, Edge & Acceleration",Secondary,384251.9532,-0.0945,-0.0961,0.1216,153700.7813
AMBA,Ambarella Inc,Industrial Automation & Robotics,Automation - Industrial Sensors & Machine Vision,Primary,3070.773,-0.1087,0.0285,-0.2005,1842.4638
AMBA,Ambarella Inc,Industrial Automation & Robotics,Robotics - Sensors & Vision Systems,Secondary,3070.773,-0.1087,0.0285,-0.2005,1228.3092
AMCR,Amcor Plc,Industrials & Construction,Industrials - Packaging & Containers,Primary,22150.9816,0.0523,0.0757,0.2691,22150.9816
AMD,Advanced Micro Devices Inc,Semiconductors,Semis - Emerging Technologies,Primary,745624.7644,-0.0973,-0.1249,-0.023,447374.8586
AMD,Advanced Micro Devices Inc,Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",Secondary,745624.7644,-0.0973,-0.1249,-0.023,298249.9058
AME,Ametek Inc/,Hardware,Hardware - Industrial & IoT,Primary,55556.8783,-0.0466,0.0015,0.0809,33334.127
AME,Ametek Inc/,Industrial Automation & Robotics,Automation - Industrial Sensors & Machine Vision,Secondary,55556.8783,-0.0466,0.0015,0.0809,22222.7513
AMG,"Affiliated Managers Group, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Primary,9282.1637,-0.0335,0.0018,0.1887,9282.1637
AMGN,Amgen Inc,Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,Primary,239954.1002,0.0645,0.1872,0.3157,143972.4601
AMGN,Amgen Inc,Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Secondary,239954.1002,0.0645,0.1872,0.3157,95981.6401
AMH,American Homes 4 Rent,Real Estate & REITs,"Real Estate - Housing, Urban Living & Demographics",Primary,12525.1613,0.0351,0.0432,0.0895,12525.1613
AMKR,"Amkor Technology, Inc.",Semiconductors,"Semis - Testing, Packaging & Assembly",Primary,11900.8737,-0.2186,-0.2626,-0.2707,11900.8737
AMP,"Ameriprise Financial, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Primary,49566.4169,-0.0009,0.0643,0.2445,49566.4169
AMR,"Alpha Metallurgical Resources, Inc.",Energy - Traditional,Energy Base - Coal & Thermal Power Generation,Primary,2661.7119,0.2421,0.4687,0.1975,2661.7119
AMSC,American Superconductor Corp /De/,Energy - Renewable,Energy Clean - Wind,Primary,1400.9468,-0.0999,-0.0524,-0.4421,1400.9468
AMT,American Tower Corp /Ma/,Telecommunications,Telecom - Infrastructure & Equipment,Primary,83122.6184,0.0358,0.0703,-0.0204,49873.571
AMT,American Tower Corp /Ma/,Real Estate & REITs,Real Estate - Digital Infrastructure,Secondary,83122.6184,0.0358,0.0703,-0.0204,33249.0474
AMTX,"Aemetis, Inc",Commodities - Energy,Comm Energy - Biofuels & Renewable Fuels,Primary,136.4005,0.05,0.1217,-0.2948,81.8403
AMTX,"Aemetis, Inc",Energy - Renewable,Energy Clean - Fuels & Bioenergy,Secondary,136.4005,0.05,0.1217,-0.2948,54.5602
AMWL,American Well Corp,Healthcare & Biotech,"Healthcare - Digital Health, Telemedicine & Remote Care",Primary,202.7444,-0.034,0.1027,0.4975,202.7444
AMZN,Amazon Com Inc,Cloud Computing,Cloud - Hyperscalers & Platforms,Primary,2826769.2687,0.0029,0.1291,-0.016,1696061.5612
AMZN,Amazon Com Inc,E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",Secondary,2826769.2687,0.0029,0.1291,-0.016,1130707.7075
AN,"Autonation, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",Primary,6451.1555,-0.048,-0.0627,0.0271,6451.1555
ANDE,"Andersons, Inc.",Agriculture & FoodTech,Agriculture - Agri-Food Processing & Distribution,Primary,2234.2333,-0.0453,-0.1538,-0.0691,1340.54
ANDE,"Andersons, Inc.",Commodities - Agriculture,"Comm Agri - Grains, Oilseeds & Softs",Secondary,2234.2333,-0.0453,-0.1538,-0.0691,893.6933
ANET,"Arista Networks, Inc.",Hardware,Hardware - Communications & Telecom,Primary,237299.4171,-0.0676,0.0814,0.2215,142379.6503
ANET,"Arista Networks, Inc.",Hardware,Hardware - Networking Equipment,Secondary,237299.4171,-0.0676,0.0814,0.2215,94919.7668
ANF,Abercrombie & Fitch Co /De/,Consumer Goods & Retail,Consumer - Apparel & E-Commerce Retail,Primary,4992.3471,0.0685,0.1977,0.4543,4992.3471
AON,Aon Plc,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,76174.2459,0.0342,-0.0049,0.1082,76174.2459
AOS,Smith A O Corp,Environmental Sustainability,Environmental - Water Infrastructure & Treatment,Primary,8524.1861,0.0215,0.0382,0.1016,8524.1861
APA,Apa Corp,Energy - Traditional,Energy Base - Oil & Gas Exploration & Production,Primary,15051.1012,0.0332,0.1884,0.115,15051.1012
APD,"Air Products & Chemicals, Inc.",Energy - Renewable,Energy Clean - Hydrogen & Fuel Cells,Primary,68195.2174,0.0179,0.0281,0.0645,68195.2174
APG,APi Group Corp,Industrials & Construction,Industrials - Engineering & Construction,Primary,17597.567,-0.0894,0.0291,-0.0219,10558.5402
APG,APi Group Corp,Industrials & Construction,Industrials - Building Products & HVAC,Secondary,17597.567,-0.0894,0.0291,-0.0219,7039.0268
APH,Amphenol Corp /De/,Hardware,Hardware - Communications & Telecom,Primary,191790.5797,-0.0897,0.0189,0.1797,191790.5797
APO,"Apollo Global Management, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Primary,78418.2231,-0.0088,0.0876,0.0377,78418.2231
APP,Applovin Corp,Artificial Intelligence,"AI - Ads, Search & Recommendations",Primary,100308.181,-0.0429,-0.2383,-0.3801,60184.9086
APP,Applovin Corp,Digital Entertainment & Media,Entertainment - Advertising & Social Platforms,Secondary,100308.181,-0.0429,-0.2383,-0.3801,40123.2724
APPF,Appfolio Inc,Software,Software - Vertical SaaS Platforms,Primary,7972.3653,0.1487,0.3638,0.3649,7972.3653
APTV,Aptiv Plc,Industrial Automation & Robotics,"Robotics - Autonomous Vehicles, Service & Mobility",Primary,9829.3617,-0.054,-0.1629,-0.1747,5897.617
APTV,Aptiv Plc,Transportation & Logistics,Transportation - Infrastructure & Equipment,Secondary,9829.3617,-0.054,-0.1629,-0.1747,3931.7447
AR,Antero Resources Corp,Commodities - Energy,Comm Energy - Natural Gas & LNG,Primary,11651.9393,0.0412,0.0743,0.0313,11651.9393
ARAY,Accuray Inc,Industrial Automation & Robotics,Robotics - Medical & Surgical Robotics,Primary,32.4381,-0.1818,0.125,-0.129,32.4381
ARCB,Arcbest Corp /De/,Transportation & Logistics,"Transportation - Trucking, LTL & Ground Freight",Primary,3005.1395,-0.0783,-0.1279,0.0803,3005.1395
ARCT,Arcturus Therapeutics Holdings Inc.,Nanotechnology,NanoTech - Nanomedicine & Drug Delivery,Primary,407.5868,0.7617,1.5931,1.0398,407.5868
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate & REITs,Real Estate - Office & Commercial Workspaces,Primary,9300.0294,0.1513,0.0609,0.1319,9300.0294
AREC,American Resources Corp,Commodities - Metals,Comm Metals - Rare Earth & Strategic Materials,Primary,268.4979,-0.1492,0.4649,0.18,268.4979
ARES,Ares Management Corp,Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Primary,46181.8225,-0.0094,0.1067,0.1367,46181.8225
ARLO,"Arlo Technologies, Inc.",Smart Home & IoT,Smart Home - Connected Devices & Appliances,Primary,1408.6582,-0.0452,0.0171,-0.0053,845.1949
ARLO,"Arlo Technologies, Inc.",Smart Home & IoT,"Smart Home - Connectivity, Security & Networking",Secondary,1408.6582,-0.0452,0.0171,-0.0053,563.4633
ARLP,Alliance Resource Partners Lp,Energy - Traditional,Energy Base - Coal & Thermal Power Generation,Primary,3394.0191,0.0174,0.0935,0.086,3394.0191
ARM,Arm Holdings Plc /Uk,Semiconductors,Semis - EDA Tools & Design Software,Primary,255016.6979,-0.1203,-0.0817,-0.221,153010.0187
ARM,Arm Holdings Plc /Uk,Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",Secondary,255016.6979,-0.1203,-0.0817,-0.221,102006.6792
ARMK,Aramark,Business Services & Consulting,"Business Services - Outsourcing, Facilities & Testing",Primary,15627.692,-0.0389,0.0388,0.1588,15627.692
ARQQ,Arqit Quantum Inc.,Semiconductors,Semis - Emerging Technologies,Primary,350.3105,-0.1733,0.209,0.1509,350.3105
ARW,"Arrow Electronics, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,Primary,10274.7505,-0.084,-0.0491,-0.0713,6164.8503
ARW,"Arrow Electronics, Inc.",Hardware,Hardware - Data Center Infrastructure & Servers,Secondary,10274.7505,-0.084,-0.0491,-0.0713,4109.9002
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare & Biotech,Healthcare - Genomics & Personalized Medicine,Primary,12250.9998,-0.0222,0.0132,0.1572,12250.9998
ASAN,"Asana, Inc.",Cloud Computing,Cloud - Horizontal SaaS & Cloud Applications,Primary,2249.7759,0.1053,0.4227,0.4743,2249.7759
ASB,Associated Banc-Corp,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary,5835.4545,-0.0362,0.0029,0.1128,5835.4545
ASH,Ashland Inc.,Industrials & Construction,Industrials - Chemicals & Advanced Materials,Primary,3375.4291,-0.0062,0.1101,0.2978,3375.4291
ASML,Asml Holding Nv,Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary,668383.9037,-0.0759,-0.0084,0.067,401030.3422
ASML,Asml Holding Nv,Hardware,Hardware - Next-Gen & Specialty,Secondary,668383.9037,-0.0759,-0.0084,0.067,267353.5615
ASPN,Aspen Aerogels Inc,Nanotechnology,NanoTech - Energy & Environment,Primary,415.7738,-0.1392,0.0728,-0.1347,415.7738
ASTS,"Ast Spacemobile, Inc.",Telecommunications,Telecom - Satellite & Space Communication,Primary,24264.5914,-0.1236,0.1094,-0.411,14558.7548
ASTS,"Ast Spacemobile, Inc.",Space Tech,"Space - Infrastructure, Exploration & Launch",Secondary,24264.5914,-0.1236,0.1094,-0.411,9705.8366
ASX,"Ase Technology Holding Co., Ltd.",Semiconductors,"Semis - Testing, Packaging & Assembly",Primary,94356.8404,-0.092,-0.0163,0.0516,94356.8404
ATAI,Atai Life Sciences N.V.,Healthcare & Biotech,"Healthcare - Regenerative Medicine, Psychedelics, Cannabis",Primary,2736.9812,0.0193,0.0279,0.7083,2736.9812
ATI,Ati Inc,Defense & Aerospace,Defense - Secure Defense Supply Chains,Primary,28569.9072,-0.0948,0.0607,0.2928,28569.9072
ATLX,Atlas Lithium Corp,Commodities - Metals,Comm Metals - Battery & Energy Transition Metals,Primary,100.8343,0.0772,0.2007,-0.2005,100.8343
ATO,Atmos Energy Corp,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary,28359.6616,-0.0063,-0.058,-0.0451,17015.797
ATO,Atmos Energy Corp,Commodities - Energy,Comm Energy - Natural Gas & LNG,Secondary,28359.6616,-0.0063,-0.058,-0.0451,11343.8646
ATOM,Atomera Inc,Nanotechnology,NanoTech - Research Tools & Advanced Instruments,Primary,176.3887,-0.1661,-0.1274,-0.5108,176.3887
ATR,"Aptargroup, Inc.",Industrials & Construction,Industrials - Packaging & Containers,Primary,8567.5571,0.0228,0.0217,0.1634,5140.5343
ATR,"Aptargroup, Inc.",Nanotechnology,NanoTech - Nanomedicine & Drug Delivery,Secondary,8567.5571,0.0228,0.0217,0.1634,3427.0228
AU,Anglogold Ashanti Plc,Commodities - Metals,Comm Metals - Gold,Primary,60930.0234,0.2171,0.5216,0.3538,60930.0234
AUID,Authid Inc.,Cybersecurity,"Cybersecurity - Identity, Biometrics & Access Management",Primary,7.6562,0.145,-0.3877,-0.6085,7.6562
AUR,"Aurora Innovation, Inc.",Industrial Automation & Robotics,"Robotics - Autonomous Vehicles, Service & Mobility",Primary,11403.6439,-0.1836,-0.0437,-0.1952,6842.1863
AUR,"Aurora Innovation, Inc.",Transportation & Logistics,Transportation - Urban Mobility & Emerging Transport Tech,Secondary,11403.6439,-0.1836,-0.0437,-0.1952,4561.4576
AVAV,Aerovironment Inc,Defense & Aerospace,Defense - Drones & Anti-Drone Systems,Primary,7531.9117,-0.1818,-0.0088,-0.1494,7531.9117
AVGO,Broadcom Inc.,Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",Primary,1706829.5455,-0.0858,-0.0606,-0.1324,1024097.7273
AVGO,Broadcom Inc.,Semiconductors,Semis - Wireless & Connectivity,Secondary,1706829.5455,-0.0858,-0.0606,-0.1324,682731.8182
AVNT,Avient Corp,Industrials & Construction,Industrials - Chemicals & Advanced Materials,Primary,4074.1824,-0.0214,0.1814,0.3044,4074.1824
AVT,"Avnet, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,Primary,7079.615,-0.1254,-0.0353,0.0079,4247.769
AVT,"Avnet, Inc.",Hardware,Hardware - Data Center Infrastructure & Servers,Secondary,7079.615,-0.1254,-0.0353,0.0079,2831.846
AVTR,"Avantor, Inc.",Nanotechnology,NanoTech - Research Tools & Advanced Instruments,Primary,9644.8778,0.0563,0.2465,0.7562,5786.9267
AVTR,"Avantor, Inc.",Healthcare & Biotech,Healthcare - Next-Gen Biotech Platforms,Secondary,9644.8778,0.0563,0.2465,0.7562,3857.9511
AVY,Avery Dennison Corp,Industrials & Construction,Industrials - Packaging & Containers,Primary,13921.5247,0.04,0.1416,0.1579,8352.9148
AVY,Avery Dennison Corp,Industrial Automation & Robotics,"Automation - Industrial IoT, Connectivity",Secondary,13921.5247,0.04,0.1416,0.1579,5568.6099
AWK,"American Water Works Company, Inc.",Environmental Sustainability,Environmental - Water Infrastructure & Treatment,Primary,27804.1743,0.0414,0.0459,0.1249,27804.1743
AWR,American States Water Co,Environmental Sustainability,Environmental - Water Infrastructure & Treatment,Primary,3610.8052,0.0368,0.0608,0.196,3610.8052
AWRE,Aware Inc /Ma/,Cybersecurity,"Cybersecurity - Identity, Biometrics & Access Management",Primary,27.2658,0.0684,0.1468,0.0,27.2658
AXON,"Axon Enterprise, Inc.",Defense & Aerospace,Defense - Cyber Defense & Electronic Warfare,Primary,48546.6685,-0.0111,0.1896,0.5482,29128.0011
AXON,"Axon Enterprise, Inc.",Defense & Aerospace,Defense - Secure Defense Supply Chains,Secondary,48546.6685,-0.0111,0.1896,0.5482,19418.6674
AXP,American Express Co,FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary,227802.2513,0.0033,0.0342,0.0849,227802.2513
AXTA,Axalta Coating Systems Ltd.,Industrials & Construction,Industrials - Chemicals & Advanced Materials,Primary,7717.5613,-0.0014,0.1007,0.2341,7717.5613
